episode,timestep,result,own_alive,enemy_alive,ep_steps,ep_reward,kills,deaths,act_hold,act_nav,act_frenzy,act_retreat,act_zone,act_split,act_merge,act_aggro,win_rate_100,avg_survivors_100,avg_ep_len_100,stage,timestamp
45,442,WIN,3,0,10,11.2900,50,47,5,2,3,0,0,0,0,0,0.600,2.3,9.8,1,23:35:12
46,451,WIN,2,0,9,11.1700,50,48,2,3,4,0,0,0,0,0,0.609,2.3,9.8,1,23:35:19
47,461,WIN,1,0,10,11.0300,50,49,3,3,4,0,0,0,0,0,0.617,2.2,9.8,1,23:35:26
48,470,WIN,2,0,9,11.1700,50,48,3,2,4,0,0,0,0,0,0.625,2.2,9.8,1,23:35:32
49,480,WIN,3,0,10,11.2900,50,47,4,2,4,0,0,0,0,0,0.633,2.3,9.8,1,23:35:39
50,489,WIN,3,0,9,11.3000,50,47,2,3,4,0,0,0,0,0,0.640,2.3,9.8,1,23:35:46
51,498,WIN,4,0,9,11.4300,50,46,2,3,4,0,0,0,0,0,0.647,2.3,9.8,1,23:35:52
52,509,WIN,1,0,11,11.0200,50,49,5,1,5,0,0,0,0,0,0.654,2.3,9.8,1,23:35:59
53,518,LOSS,0,3,9,-9.2400,47,50,4,3,2,0,0,0,0,0,0.642,2.3,9.8,1,23:36:06
54,528,LOSS,0,2,10,-9.2000,48,50,3,6,1,0,0,0,0,0,0.630,2.3,9.8,1,23:36:13
55,537,LOSS,0,2,9,-9.1900,48,50,3,4,2,0,0,0,0,0,0.618,2.3,9.8,1,23:36:19
56,547,LOSS,0,2,10,-9.2000,48,50,4,3,3,0,0,0,0,0,0.607,2.3,9.8,1,23:36:26
57,557,LOSS,0,3,10,-9.2500,47,50,3,1,6,0,0,0,0,0,0.596,2.3,9.8,1,23:36:33
58,567,WIN,1,0,10,11.0300,50,49,4,2,4,0,0,0,0,0,0.603,2.3,9.8,1,23:36:40
59,577,WIN,2,0,10,11.1600,50,48,1,5,4,0,0,0,0,0,0.610,2.2,9.8,1,23:36:47
60,586,WIN,5,0,9,11.5600,50,45,0,5,4,0,0,0,0,0,0.617,2.3,9.8,1,23:36:54
61,596,WIN,1,0,10,11.0300,50,49,2,6,2,0,0,0,0,0,0.623,2.3,9.8,1,23:37:00
62,605,WIN,4,0,9,11.4300,50,46,3,4,2,0,0,0,0,0,0.629,2.3,9.8,1,23:37:07
63,615,WIN,2,0,10,11.1600,50,48,3,4,3,0,0,0,0,0,0.635,2.3,9.8,1,23:37:14
64,625,WIN,2,0,10,11.1600,50,48,6,2,2,0,0,0,0,0,0.641,2.3,9.8,1,23:37:21
65,635,WIN,3,0,10,11.2900,50,47,3,2,5,0,0,0,0,0,0.646,2.3,9.8,1,23:37:28
66,645,LOSS,0,1,10,-9.1500,49,50,4,2,4,0,0,0,0,0,0.636,2.3,9.8,1,23:37:35
67,657,LOSS,0,1,12,-9.1700,49,50,1,7,4,0,0,0,0,0,0.627,2.3,9.8,1,23:37:43
68,668,LOSS,0,1,11,-9.1600,49,50,3,3,5,0,0,0,0,0,0.618,2.3,9.8,1,23:37:51
69,678,LOSS,0,1,10,-9.1500,49,50,3,2,5,0,0,0,0,0,0.609,2.3,9.8,1,23:37:58
70,687,LOSS,0,2,9,-9.1900,48,50,2,5,2,0,0,0,0,0,0.600,2.3,9.8,1,23:38:04
71,696,LOSS,0,3,9,-9.2400,47,50,6,3,0,0,0,0,0,0,0.592,2.3,9.8,1,23:38:10
72,707,WIN,2,0,11,11.1500,50,48,1,5,5,0,0,0,0,0,0.597,2.3,9.8,1,23:38:18
73,717,WIN,2,0,10,11.1600,50,48,4,4,2,0,0,0,0,0,0.603,2.3,9.8,1,23:38:25
74,728,LOSS,0,1,11,-9.1600,49,50,2,2,7,0,0,0,0,0,0.595,2.3,9.8,1,23:38:32
75,737,WIN,3,0,9,11.3000,50,47,3,3,3,0,0,0,0,0,0.600,2.3,9.8,1,23:38:39
76,747,WIN,1,0,10,11.0300,50,49,3,4,3,0,0,0,0,0,0.605,2.3,9.8,1,23:38:46
77,756,WIN,3,0,9,11.3000,50,47,3,2,4,0,0,0,0,0,0.610,2.3,9.8,1,23:38:52
78,766,LOSS,0,3,10,-9.2500,47,50,3,4,3,0,0,0,0,0,0.603,2.3,9.8,1,23:38:59
79,774,LOSS,0,4,8,-9.2800,46,50,3,3,2,0,0,0,0,0,0.595,2.3,9.8,1,23:39:05
80,785,WIN,2,0,11,11.1500,50,48,4,5,2,0,0,0,0,0,0.600,2.3,9.8,1,23:39:12
81,795,WIN,4,0,10,11.4200,50,46,3,4,3,0,0,0,0,0,0.605,2.3,9.8,1,23:39:19
82,805,LOSS,0,2,10,-9.2000,48,50,2,6,2,0,0,0,0,0,0.598,2.3,9.8,1,23:39:26
83,814,LOSS,0,3,9,-9.2400,47,50,3,4,2,0,0,0,0,0,0.590,2.3,9.8,1,23:39:33
84,823,LOSS,0,2,9,-9.1900,48,50,5,2,2,0,0,0,0,0,0.583,2.3,9.8,1,23:39:39
85,833,LOSS,0,2,10,-9.2000,48,50,1,5,4,0,0,0,0,0,0.576,2.3,9.8,1,23:39:46
86,843,WIN,3,0,10,11.2900,50,47,4,3,3,0,0,0,0,0,0.581,2.4,9.8,1,23:39:53
87,853,WIN,2,0,10,11.1600,50,48,2,2,6,0,0,0,0,0,0.586,2.4,9.8,1,23:40:00
88,862,WIN,3,0,9,11.3000,50,47,1,4,4,0,0,0,0,0,0.591,2.4,9.8,1,23:40:06
89,874,LOSS,0,1,12,-9.1700,49,50,2,7,3,0,0,0,0,0,0.584,2.4,9.8,1,23:40:14
90,883,LOSS,0,5,9,-9.3400,45,50,3,1,5,0,0,0,0,0,0.578,2.4,9.8,1,23:40:21
91,893,LOSS,0,3,10,-9.2500,47,50,5,2,3,0,0,0,0,0,0.571,2.4,9.8,1,23:40:28
92,902,LOSS,0,3,9,-9.2400,47,50,3,6,0,0,0,0,0,0,0.565,2.4,9.8,1,23:40:34
93,912,LOSS,0,2,10,-9.2000,48,50,4,4,2,0,0,0,0,0,0.559,2.4,9.8,1,23:40:41
94,921,LOSS,0,3,9,-9.2400,47,50,5,2,2,0,0,0,0,0,0.553,2.4,9.8,1,23:40:48
95,931,LOSS,0,3,10,-9.2500,47,50,5,3,2,0,0,0,0,0,0.547,2.4,9.8,1,23:40:55
96,941,WIN,2,0,10,11.1600,50,48,5,1,4,0,0,0,0,0,0.552,2.4,9.8,1,23:41:02
97,951,LOSS,0,1,10,-9.1500,49,50,2,1,7,0,0,0,0,0,0.546,2.4,9.8,1,23:41:09
98,961,WIN,3,0,10,11.2900,50,47,2,5,3,0,0,0,0,0,0.551,2.4,9.8,1,23:41:16
99,970,LOSS,0,1,9,-9.1400,49,50,3,3,3,0,0,0,0,0,0.545,2.4,9.8,1,23:41:22
100,981,LOSS,0,1,11,-9.1600,49,50,3,7,1,0,0,0,0,0,0.540,2.4,9.8,1,23:41:30
101,991,LOSS,0,1,10,-9.1500,49,50,2,6,2,0,0,0,0,0,0.540,2.4,9.8,1,23:41:36
102,1001,LOSS,0,3,10,-9.2500,47,50,2,5,3,0,0,0,0,0,0.540,2.4,9.8,1,23:41:44
103,1010,LOSS,0,3,9,-9.2400,47,50,2,5,2,0,0,0,0,0,0.540,2.4,9.8,1,23:41:50
104,1020,LOSS,0,2,10,-9.2000,48,50,1,4,5,0,0,0,0,0,0.540,2.4,9.8,1,23:41:57
105,1029,WIN,5,0,9,11.5600,50,45,4,3,2,0,0,0,0,0,0.540,2.4,9.8,1,23:42:03
106,1038,WIN,3,0,9,11.3000,50,47,6,1,2,0,0,0,0,0,0.550,2.4,9.8,1,23:42:10
107,1049,WIN,1,0,11,11.0200,50,49,3,5,3,0,0,0,0,0,0.560,2.4,9.8,1,23:42:17
108,1059,WIN,1,0,10,11.0300,50,49,6,1,3,0,0,0,0,0,0.560,2.4,9.8,1,23:42:24
109,1069,WIN,3,0,10,11.2900,50,47,6,2,2,0,0,0,0,0,0.570,2.4,9.8,1,23:42:31
110,1078,WIN,2,0,9,11.1700,50,48,1,2,6,0,0,0,0,0,0.580,2.4,9.8,1,23:42:37
111,1089,LOSS,0,1,11,-9.1600,49,50,4,5,2,0,0,0,0,0,0.570,2.4,9.8,1,23:42:45
112,1098,LOSS,0,3,9,-9.2400,47,50,3,2,4,0,0,0,0,0,0.560,2.4,9.8,1,23:42:51
113,1107,LOSS,0,4,9,-9.2900,46,50,2,4,3,0,0,0,0,0,0.550,2.4,9.8,1,23:42:58
114,1116,WIN,3,0,9,11.3000,50,47,1,4,4,0,0,0,0,0,0.560,2.4,9.8,1,23:43:04
115,1127,WIN,1,0,11,11.0200,50,49,6,4,1,0,0,0,0,0,0.570,2.4,9.8,1,23:43:11
116,1137,DRAW,0,0,10,-9.1000,50,50,5,2,3,0,0,0,0,0,0.570,2.4,9.8,1,23:43:18
117,1148,WIN,1,0,11,11.0200,50,49,5,3,3,0,0,0,0,0,0.570,2.4,9.8,1,23:43:26
118,1158,WIN,3,0,10,11.2900,50,47,5,3,2,0,0,0,0,0,0.570,2.4,9.8,1,23:43:33
119,1167,WIN,2,0,9,11.1700,50,48,2,5,2,0,0,0,0,0,0.570,2.4,9.8,1,23:43:39
120,1176,WIN,3,0,9,11.3000,50,47,2,4,3,0,0,0,0,0,0.570,2.4,9.8,1,23:43:46
121,1187,LOSS,0,2,11,-9.2100,48,50,6,3,2,0,0,0,0,0,0.560,2.4,9.8,1,23:43:53
122,1196,LOSS,0,3,9,-9.2400,47,50,3,2,4,0,0,0,0,0,0.550,2.4,9.8,1,23:44:00
123,1205,WIN,2,0,9,11.1700,50,48,4,2,3,0,0,0,0,0,0.550,2.4,9.8,1,23:44:06
124,1215,WIN,2,0,10,11.1600,50,48,4,4,2,0,0,0,0,0,0.550,2.4,9.8,1,23:44:13
125,1224,WIN,3,0,9,11.3000,50,47,2,4,3,0,0,0,0,0,0.560,2.4,9.8,1,23:44:19
126,1234,LOSS,0,1,10,-9.1500,49,50,1,3,6,0,0,0,0,0,0.560,2.4,9.8,1,23:44:26
127,1244,LOSS,0,1,10,-9.1500,49,50,2,2,6,0,0,0,0,0,0.560,2.4,9.8,1,23:44:33
128,1254,WIN,1,0,10,11.0300,50,49,3,3,4,0,0,0,0,0,0.560,2.4,9.8,1,23:44:40
129,1264,WIN,2,0,10,11.1600,50,48,2,4,4,0,0,0,0,0,0.570,2.4,9.8,1,23:44:47
130,1273,WIN,2,0,9,11.1700,50,48,3,4,2,0,0,0,0,0,0.580,2.4,9.8,1,23:44:54
131,1282,WIN,4,0,9,11.4300,50,46,3,2,4,0,0,0,0,0,0.590,2.4,9.8,1,23:45:00
132,1291,WIN,3,0,9,11.3000,50,47,1,3,5,0,0,0,0,0,0.600,2.4,9.8,1,23:45:06
133,1301,WIN,2,0,10,11.1600,50,48,3,5,2,0,0,0,0,0,0.600,2.4,9.7,1,23:45:13
134,1312,WIN,1,0,11,11.0200,50,49,7,2,2,0,0,0,0,0,0.600,2.4,9.8,1,23:45:21
135,1321,WIN,2,0,9,11.1700,50,48,2,1,6,0,0,0,0,0,0.600,2.4,9.7,1,23:45:27
136,1331,WIN,3,0,10,11.2900,50,47,2,5,3,0,0,0,0,0,0.600,2.4,9.8,1,23:45:34
137,1341,WIN,2,0,10,11.1600,50,48,5,3,2,0,0,0,0,0,0.600,2.4,9.8,1,23:45:41
138,1352,WIN,2,0,11,11.1500,50,48,2,3,6,0,0,0,0,0,0.600,2.4,9.8,1,23:45:49
139,1364,LOSS,0,1,12,-9.1700,49,50,4,3,5,0,0,0,0,0,0.590,2.4,9.8,1,23:45:57
140,1374,LOSS,0,2,10,-9.2000,48,50,2,3,5,0,0,0,0,0,0.580,2.4,9.8,1,23:46:04
141,1384,WIN,1,0,10,11.0300,50,49,1,4,5,0,0,0,0,0,0.580,2.4,9.8,1,23:46:11
142,1393,WIN,4,0,9,11.4300,50,46,1,6,2,0,0,0,0,0,0.580,2.4,9.8,1,23:46:17
143,1403,WIN,2,0,10,11.1600,50,48,5,2,3,0,0,0,0,0,0.580,2.4,9.8,1,23:46:24
144,1413,LOSS,0,1,10,-9.1500,49,50,2,2,6,0,0,0,0,0,0.570,2.4,9.8,1,23:46:31
145,1423,LOSS,0,2,10,-9.2000,48,50,6,2,2,0,0,0,0,0,0.560,2.4,9.8,1,23:46:38
146,1433,LOSS,0,2,10,-9.2000,48,50,5,3,2,0,0,0,0,0,0.550,2.4,9.8,1,23:46:45
147,1443,LOSS,0,3,10,-9.2500,47,50,1,2,7,0,0,0,0,0,0.540,2.4,9.8,1,23:46:52
148,1453,LOSS,0,1,10,-9.1500,49,50,1,3,6,0,0,0,0,0,0.530,2.4,9.8,1,23:46:59
149,1462,LOSS,0,3,9,-9.2400,47,50,8,0,1,0,0,0,0,0,0.520,2.4,9.8,1,23:47:05
150,1471,LOSS,0,3,9,-9.2400,47,50,3,3,3,0,0,0,0,0,0.510,2.4,9.8,1,23:47:12
151,1481,LOSS,0,1,10,-9.1500,49,50,3,3,4,0,0,0,0,0,0.500,2.3,9.8,1,23:47:19
